,Unnamed: 0,Source,Destination,Q,hour,day,weather,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude
0,0,Back Bay,Back Bay,0.0,6,1,Clear,42.35,-71.08,42.35,-71.08
1,1,Beacon Hill,Back Bay,21.636758175740347,6,1,Clear,42.356,-71.069,42.35,-71.08
2,2,Boston University,Back Bay,21.27352143563714,6,1,Clear,42.351,-71.105,42.35,-71.08
3,3,Fenway,Back Bay,23.06490250290296,6,1,Clear,42.347,-71.092,42.35,-71.08
4,4,Financial District,Back Bay,23.6345945040376,6,1,Clear,42.356,-71.055,42.35,-71.08
5,5,Haymarket Square,Back Bay,24.658628272403096,6,1,Clear,42.364,-71.059,42.35,-71.08
6,6,North End,Back Bay,23.667689076244685,6,1,Clear,42.365,-71.056,42.35,-71.08
7,7,North Station,Back Bay,22.87207551470788,6,1,Clear,42.366,-71.062,42.35,-71.08
8,8,Northeastern University,Back Bay,22.821448534029138,6,1,Clear,42.34,-71.09,42.35,-71.08
9,9,South Station,Back Bay,22.42944742042605,6,1,Clear,42.352,-71.055,42.35,-71.08
10,10,Theatre District,Back Bay,24.59829095945815,6,1,Clear,42.352,-71.064,42.35,-71.08
11,11,West End,Back Bay,23.528628656416117,6,1,Clear,42.365,-71.064,42.35,-71.08
12,12,Back Bay,Beacon Hill,21.77141337720232,6,1,Clear,42.35,-71.08,42.356,-71.069
13,13,Beacon Hill,Beacon Hill,0.0,6,1,Clear,42.356,-71.069,42.356,-71.069
14,14,Boston University,Beacon Hill,21.267298322247303,6,1,Clear,42.351,-71.105,42.356,-71.069
15,15,Fenway,Beacon Hill,23.072475202742496,6,1,Clear,42.347,-71.092,42.356,-71.069
16,16,Financial District,Beacon Hill,23.331108330480728,6,1,Clear,42.356,-71.055,42.356,-71.069
17,17,Haymarket Square,Beacon Hill,24.73269654235158,6,1,Clear,42.364,-71.059,42.356,-71.069
18,18,North End,Beacon Hill,23.66707183516679,6,1,Clear,42.365,-71.056,42.356,-71.069
19,19,North Station,Beacon Hill,22.82258935458911,6,1,Clear,42.366,-71.062,42.356,-71.069
20,20,Northeastern University,Beacon Hill,22.81528110726457,6,1,Clear,42.34,-71.09,42.356,-71.069
21,21,South Station,Beacon Hill,22.253145346071197,6,1,Clear,42.352,-71.055,42.356,-71.069
22,22,Theatre District,Beacon Hill,24.59766869679868,6,1,Clear,42.352,-71.064,42.356,-71.069
23,23,West End,Beacon Hill,23.53465220843281,6,1,Clear,42.365,-71.064,42.356,-71.069
24,24,Back Bay,Boston University,21.77773991749427,6,1,Clear,42.35,-71.08,42.351,-71.105
25,25,Beacon Hill,Boston University,21.638350734767144,6,1,Clear,42.356,-71.069,42.351,-71.105
26,26,Boston University,Boston University,0.0,6,1,Clear,42.351,-71.105,42.351,-71.105
27,27,Fenway,Boston University,23.070775377493767,6,1,Clear,42.347,-71.092,42.351,-71.105
28,28,Financial District,Boston University,24.18867024791937,6,1,Clear,42.356,-71.055,42.351,-71.105
29,29,Haymarket Square,Boston University,23.936422239970096,6,1,Clear,42.364,-71.059,42.351,-71.105
30,30,North End,Boston University,23.669650842604703,6,1,Clear,42.365,-71.056,42.351,-71.105
31,31,North Station,Boston University,23.528972578615445,6,1,Clear,42.366,-71.062,42.351,-71.105
32,32,Northeastern University,Boston University,22.817632011876206,6,1,Clear,42.34,-71.09,42.351,-71.105
33,33,South Station,Boston University,21.101731271389443,6,1,Clear,42.352,-71.055,42.351,-71.105
34,34,Theatre District,Boston University,24.59648036247189,6,1,Clear,42.352,-71.064,42.351,-71.105
35,35,West End,Boston University,23.532718107390437,6,1,Clear,42.365,-71.064,42.351,-71.105
36,36,Back Bay,Fenway,21.779513127682264,6,1,Clear,42.35,-71.08,42.347,-71.092
37,37,Beacon Hill,Fenway,21.640639921163533,6,1,Clear,42.356,-71.069,42.347,-71.092
38,38,Boston University,Fenway,21.27062807140608,6,1,Clear,42.351,-71.105,42.347,-71.092
39,39,Fenway,Fenway,23.06424276641413,6,1,Clear,42.347,-71.092,42.347,-71.092
40,40,Financial District,Fenway,24.87024589125256,6,1,Clear,42.356,-71.055,42.347,-71.092
41,41,Haymarket Square,Fenway,24.11945815101628,6,1,Clear,42.364,-71.059,42.347,-71.092
42,42,North End,Fenway,23.66475596998924,6,1,Clear,42.365,-71.056,42.347,-71.092
43,43,North Station,Fenway,23.444964562911814,6,1,Clear,42.366,-71.062,42.347,-71.092
44,44,Northeastern University,Fenway,22.821688742848107,6,1,Clear,42.34,-71.09,42.347,-71.092
45,45,South Station,Fenway,21.26985443212107,6,1,Clear,42.352,-71.055,42.347,-71.092
46,46,Theatre District,Fenway,24.59635770344454,6,1,Clear,42.352,-71.064,42.347,-71.092
47,47,West End,Fenway,23.53725132205884,6,1,Clear,42.365,-71.064,42.347,-71.092
