Source,Destination,Q,hour,weather,day,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude
Back Bay,Back Bay,0.0,6,Clear,1,42.3495,-71.0795,42.3495,-71.0795
Beacon Hill,Back Bay,0.0,6,Clear,1,42.3562,-71.0694,42.3495,-71.0795
Boston University,Back Bay,12.9992843941259,6,Clear,1,42.3505,-71.1054,42.3495,-71.0795
Fenway,Back Bay,12.81948157608019,6,Clear,1,42.3468,-71.0923,42.3495,-71.0795
Financial District,Back Bay,0.0,6,Clear,1,42.3559,-71.055,42.3495,-71.0795
Haymarket Square,Back Bay,10.865783055940085,6,Clear,1,42.3638,-71.0585,42.3495,-71.0795
North End,Back Bay,9.893436251308836,6,Clear,1,42.3652,-71.0555,42.3495,-71.0795
North Station,Back Bay,0.0,6,Clear,1,42.3664,-71.062,42.3495,-71.0795
Northeastern University,Back Bay,11.536395579648772,6,Clear,1,42.3399,-71.0899,42.3495,-71.0795
South Station,Back Bay,10.573414272802149,6,Clear,1,42.3519,-71.0552,42.3495,-71.0795
Theatre District,Back Bay,0.0,6,Clear,1,42.3519,-71.0643,42.3495,-71.0795
West End,Back Bay,0.0,6,Clear,1,42.3652,-71.0641,42.3495,-71.0795
Back Bay,Beacon Hill,0.0,6,Clear,1,42.3495,-71.0795,42.3562,-71.0694
Beacon Hill,Beacon Hill,0.0,6,Clear,1,42.3562,-71.0694,42.3562,-71.0694
Boston University,Beacon Hill,10.100765331672136,6,Clear,1,42.3505,-71.1054,42.3562,-71.0694
Fenway,Beacon Hill,10.082999398503839,6,Clear,1,42.3468,-71.0923,42.3562,-71.0694
Financial District,Beacon Hill,0.0,6,Clear,1,42.3559,-71.055,42.3562,-71.0694
Haymarket Square,Beacon Hill,12.990591984406175,6,Clear,1,42.3638,-71.0585,42.3562,-71.0694
North End,Beacon Hill,10.333697295777984,6,Clear,1,42.3652,-71.0555,42.3562,-71.0694
North Station,Beacon Hill,0.0,6,Clear,1,42.3664,-71.062,42.3562,-71.0694
Northeastern University,Beacon Hill,10.511585865435492,6,Clear,1,42.3399,-71.0899,42.3562,-71.0694
South Station,Beacon Hill,12.055891729719065,6,Clear,1,42.3519,-71.0552,42.3562,-71.0694
Theatre District,Beacon Hill,0.0,6,Clear,1,42.3519,-71.0643,42.3562,-71.0694
West End,Beacon Hill,0.0,6,Clear,1,42.3652,-71.0641,42.3562,-71.0694
Back Bay,Boston University,10.586399001227646,6,Clear,1,42.3495,-71.0795,42.3505,-71.1054
Beacon Hill,Boston University,9.861303886548772,6,Clear,1,42.3562,-71.0694,42.3505,-71.1054
Boston University,Boston University,0.0,6,Clear,1,42.3505,-71.1054,42.3505,-71.1054
Fenway,Boston University,0.0,6,Clear,1,42.3468,-71.0923,42.3505,-71.1054
Financial District,Boston University,9.233591400072926,6,Clear,1,42.3559,-71.055,42.3505,-71.1054
Haymarket Square,Boston University,0.0,6,Clear,1,42.3638,-71.0585,42.3505,-71.1054
North End,Boston University,0.0,6,Clear,1,42.3652,-71.0555,42.3505,-71.1054
North Station,Boston University,9.65405973943867,6,Clear,1,42.3664,-71.062,42.3505,-71.1054
Northeastern University,Boston University,0.0,6,Clear,1,42.3399,-71.0899,42.3505,-71.1054
South Station,Boston University,0.0,6,Clear,1,42.3519,-71.0552,42.3505,-71.1054
Theatre District,Boston University,9.79004397029853,6,Clear,1,42.3519,-71.0643,42.3505,-71.1054
West End,Boston University,9.717577435370007,6,Clear,1,42.3652,-71.0641,42.3505,-71.1054
Back Bay,Fenway,10.659516310905966,6,Clear,1,42.3495,-71.0795,42.3468,-71.0923
Beacon Hill,Fenway,9.829483962732004,6,Clear,1,42.3562,-71.0694,42.3468,-71.0923
Boston University,Fenway,0.0,6,Clear,1,42.3505,-71.1054,42.3468,-71.0923
Fenway,Fenway,0.0,6,Clear,1,42.3468,-71.0923,42.3468,-71.0923
Financial District,Fenway,9.287319794145622,6,Clear,1,42.3559,-71.055,42.3468,-71.0923
Haymarket Square,Fenway,0.0,6,Clear,1,42.3638,-71.0585,42.3468,-71.0923
North End,Fenway,0.0,6,Clear,1,42.3652,-71.0555,42.3468,-71.0923
North Station,Fenway,9.588881804296863,6,Clear,1,42.3664,-71.062,42.3468,-71.0923
Northeastern University,Fenway,0.0,6,Clear,1,42.3399,-71.0899,42.3468,-71.0923
South Station,Fenway,0.0,6,Clear,1,42.3519,-71.0552,42.3468,-71.0923
Theatre District,Fenway,9.718992804948837,6,Clear,1,42.3519,-71.0643,42.3468,-71.0923
West End,Fenway,9.681772729138268,6,Clear,1,42.3652,-71.0641,42.3468,-71.0923
Back Bay,Financial District,0.0,6,Clear,1,42.3495,-71.0795,42.3559,-71.055
Beacon Hill,Financial District,0.0,6,Clear,1,42.3562,-71.0694,42.3559,-71.055
Boston University,Financial District,10.996197618047505,6,Clear,1,42.3505,-71.1054,42.3559,-71.055
Fenway,Financial District,11.03005224619814,6,Clear,1,42.3468,-71.0923,42.3559,-71.055
Financial District,Financial District,0.0,6,Clear,1,42.3559,-71.055,42.3559,-71.055
Haymarket Square,Financial District,17.468708720091065,6,Clear,1,42.3638,-71.0585,42.3559,-71.055
North End,Financial District,21.394067011943644,6,Clear,1,42.3652,-71.0555,42.3559,-71.055
North Station,Financial District,0.0,6,Clear,1,42.3664,-71.062,42.3559,-71.055
Northeastern University,Financial District,17.757576599271417,6,Clear,1,42.3399,-71.0899,42.3559,-71.055
South Station,Financial District,25.434107679793378,6,Clear,1,42.3519,-71.0552,42.3559,-71.055
Theatre District,Financial District,0.0,6,Clear,1,42.3519,-71.0643,42.3559,-71.055
West End,Financial District,0.0,6,Clear,1,42.3652,-71.0641,42.3559,-71.055
Back Bay,Haymarket Square,12.537729340502379,6,Clear,1,42.3495,-71.0795,42.3638,-71.0585
Beacon Hill,Haymarket Square,18.7754261773196,6,Clear,1,42.3562,-71.0694,42.3638,-71.0585
Boston University,Haymarket Square,0.0,6,Clear,1,42.3505,-71.1054,42.3638,-71.0585
Fenway,Haymarket Square,0.0,6,Clear,1,42.3468,-71.0923,42.3638,-71.0585
Financial District,Haymarket Square,16.685553168239068,6,Clear,1,42.3559,-71.055,42.3638,-71.0585
Haymarket Square,Haymarket Square,0.0,6,Clear,1,42.3638,-71.0585,42.3638,-71.0585
North End,Haymarket Square,0.0,6,Clear,1,42.3652,-71.0555,42.3638,-71.0585
North Station,Haymarket Square,24.65864353673491,6,Clear,1,42.3664,-71.062,42.3638,-71.0585
Northeastern University,Haymarket Square,0.0,6,Clear,1,42.3399,-71.0899,42.3638,-71.0585
South Station,Haymarket Square,0.0,6,Clear,1,42.3519,-71.0552,42.3638,-71.0585
Theatre District,Haymarket Square,11.305978879003659,6,Clear,1,42.3519,-71.0643,42.3638,-71.0585
West End,Haymarket Square,22.279326613809292,6,Clear,1,42.3652,-71.0641,42.3638,-71.0585
Back Bay,North End,10.95316514718528,6,Clear,1,42.3495,-71.0795,42.3652,-71.0555
